timestamp,water_type,air_temp_C,air_humidity_pct,pH,turbidity_voltage_V,absorbance,water_temp_C
2026-03-16T00:56:36,mb_water,24.5,41.0,7.609416666782595,3.6699375,,25.812
2026-03-16T00:56:47,mb_water,23.7,33.0,7.534666666782998,3.6678750000000004,,25.812
2026-03-16T00:56:58,mb_water,23.6,34.0,7.499016666783193,3.6674999999999995,,25.812
2026-03-16T00:57:09,mb_water,23.6,37.0,7.571466666782799,3.6667500000000004,,25.812
2026-03-16T00:57:20,mb_water,23.6,37.0,7.526616666783042,3.6555,,25.812
2026-03-16T00:57:31,mb_water,23.6,37.0,7.4518666667834506,3.6656250000000004,,25.812
2026-03-16T00:57:42,mb_water,23.6,34.0,7.563416666782842,3.66375,,25.812
2026-03-16T00:57:53,mb_water,23.6,37.0,7.6082666667825976,3.6661875000000004,,25.75
2026-03-16T00:58:04,mb_water,23.5,37.0,7.577216666782768,3.6641250000000003,,25.812
2026-03-16T00:58:15,mb_water,23.5,36.0,7.455316666783432,3.6645000000000003,,25.75
2026-03-16T00:58:26,mb_water,23.5,41.0,7.458766666783413,3.664875,,25.75
2026-03-16T00:58:37,mb_water,23.5,37.0,7.61516666678256,3.664875,,25.687
2026-03-16T00:58:48,mb_water,23.5,39.0,7.458766666783413,3.6652500000000003,,25.687
2026-03-16T00:59:00,mb_water,,,7.579516666782755,3.6641250000000003,,25.687
2026-03-16T00:59:11,mb_water,23.5,41.0,7.607116666782604,3.6639375000000003,,25.687
2026-03-16T00:59:22,mb_water,23.4,37.0,7.536966666782986,3.6661875000000004,,25.687
2026-03-16T00:59:33,mb_water,23.4,36.0,7.499016666783193,3.6656250000000004,,25.687
2026-03-16T00:59:44,mb_water,23.4,37.0,7.490966666783237,3.664875,,25.687
2026-03-16T00:59:55,mb_water,23.4,41.0,7.485216666783268,3.6643125,,25.687
2026-03-16T01:00:06,mb_water,23.4,37.0,7.473716666783329,3.6676875,,25.625
2026-03-16T01:00:17,mb_water,23.4,36.0,7.531216666783019,3.6639375000000003,,25.625
2026-03-16T01:00:28,mb_water,23.4,41.0,7.540416666782967,3.6667500000000004,,25.625
2026-03-16T01:00:39,mb_water,23.3,39.0,7.570316666782805,3.6680624999999996,,25.625
2026-03-16T01:00:50,mb_water,23.4,41.0,7.605966666782614,3.6684375000000005,,25.625
2026-03-16T01:01:01,mb_water,23.3,41.0,7.5875666667827115,3.6695625000000005,,25.625
2026-03-16T01:01:12,mb_water,23.3,39.0,7.61516666678256,3.6667500000000004,,25.625
2026-03-16T01:01:23,mb_water,23.3,41.0,7.611716666782579,3.6678750000000004,,25.562
