dtimestamp,water_type,air_temp_C,air_humidity_pct,pH,turbidity_voltage_V,absorbance,water_temp_C
2026-03-15T12:52:02,fertilizer_water,22.6,27.0,3.5361166668047304,2.3403750000000003,,22.625
2026-03-15T12:52:13,fertilizer_water,22.7,27.0,3.3762666668055985,2.4680625000000003,,22.625
2026-03-15T12:52:25,fertilizer_water,22.6,27.0,3.369366666805636,2.505,,22.562
2026-03-15T12:52:36,fertilizer_water,22.7,27.0,3.3624666668056733,2.611875,,22.625
2026-03-15T12:52:47,fertilizer_water,22.7,26.0,3.3808666668055736,2.5153125000000003,,22.625
2026-03-15T12:52:58,fertilizer_water,22.7,26.0,3.453316666805179,2.5978125,,22.625
2026-03-15T12:53:09,fertilizer_water,22.7,28.0,3.5315166668047553,2.6769375,,22.625
2026-03-15T12:53:20,fertilizer_water,22.7,27.0,3.4015666668054614,2.677125,,22.625
2026-03-15T12:53:31,fertilizer_water,22.6,27.0,3.3291166668058523,2.7611250000000003,,22.625
2026-03-15T12:53:42,fertilizer_water,22.7,28.0,3.543016666804693,2.76975,,22.625
2026-03-15T12:53:53,fertilizer_water,22.7,26.0,3.3578666668056982,2.7444375,,22.625
2026-03-15T12:54:04,fertilizer_water,22.7,26.0,3.418816666805366,2.7478125,,22.625
2026-03-15T12:54:15,fertilizer_water,22.7,28.0,3.513116666804855,2.79225,,22.625
2026-03-15T12:54:26,fertilizer_water,22.7,27.0,3.5361166668047304,2.7069375000000004,,22.625
2026-03-15T12:54:37,fertilizer_water,22.7,27.0,3.5292166668047678,2.838,,22.625
2026-03-15T12:54:48,fertilizer_water,22.7,27.0,3.50851666680488,2.8126875,,22.625
2026-03-15T12:55:00,fertilizer_water,22.7,28.0,3.455616666805163,2.8891875000000002,,22.625
2026-03-15T12:55:11,fertilizer_water,22.7,27.0,3.4107666668054115,2.9638125,,22.625
2026-03-15T12:55:22,fertilizer_water,22.7,28.0,3.3578666668056982,2.913,,22.625
2026-03-15T12:55:33,fertilizer_water,22.7,27.0,3.325666666805869,2.9459999999999997,,22.625
2026-03-15T12:55:44,fertilizer_water,22.6,27.0,3.403866666805449,2.970375,,22.625
2026-03-15T12:55:55,fertilizer_water,22.7,27.0,3.528066666804772,2.91075,,22.625
2026-03-15T12:56:06,fertilizer_water,22.6,27.0,3.492416666804967,2.9968125,,22.625
2026-03-15T12:56:17,fertilizer_water,22.6,27.0,3.405016666805441,2.9581875,,22.625
2026-03-15T12:56:28,fertilizer_water,22.6,28.0,3.327966666805864,2.901375,,22.625
2026-03-15T12:56:39,fertilizer_water,22.7,27.0,3.4498666668051996,2.934,,22.625
2026-03-15T12:56:50,fertilizer_water,22.7,28.0,3.5027666668049093,2.9939999999999998,,22.625
2026-03-15T12:57:01,fertilizer_water,22.6,26.0,3.327966666805864,3.0196875,,22.625
2026-03-15T12:57:12,fertilizer_water,22.7,27.0,3.5200166668048176,3.04725,,22.625
2026-03-15T12:57:23,fertilizer_water,22.6,28.0,3.345216666805765,2.9377500000000003,,22.625
2026-03-15T12:57:35,fertilizer_water,22.6,27.0,3.4441166668052325,2.899875,,22.625
2026-03-15T12:57:46,fertilizer_water,22.7,26.0,3.3222166668058897,2.9188125,,22.625
2026-03-15T12:57:57,fertilizer_water,22.6,26.0,3.5165666668048345,2.95125,,22.625
2026-03-15T12:58:08,fertilizer_water,22.6,27.0,3.4866666668049966,3.000375,,22.625
2026-03-15T12:58:19,fertilizer_water,22.6,28.0,3.388916666805528,3.0429375,,22.625
2026-03-15T12:58:30,fertilizer_water,22.6,28.0,3.3268166668058683,2.9484375,,22.625
2026-03-15T12:58:41,fertilizer_water,22.7,27.0,3.4947166668049547,3.0830625000000005,,22.625
2026-03-15T12:58:52,fertilizer_water,22.7,28.0,3.447566666805212,3.02325,,22.625
2026-03-15T12:59:03,fertilizer_water,22.7,28.0,3.327966666805864,3.0553125000000003,,22.625
2026-03-15T12:59:14,fertilizer_water,22.6,28.0,3.3866166668055406,3.0890625000000003,,22.625
2026-03-15T12:59:25,fertilizer_water,22.6,28.0,3.4820666668050215,3.11625,,22.625
2026-03-15T12:59:36,fertilizer_water,22.7,28.0,3.5200166668048176,3.0637499999999998,,22.625
2026-03-15T12:59:47,fertilizer_water,22.6,28.0,3.5016166668049173,3.106875,,22.625
2026-03-15T12:59:58,fertilizer_water,22.6,27.0,3.4015666668054614,3.071625,,22.562
2026-03-15T13:00:10,fertilizer_water,,,3.344066666805773,3.1066874999999996,,22.562
2026-03-15T13:00:21,fertilizer_water,22.7,28.0,3.3199166668059057,3.1389375,,22.625
2026-03-15T13:00:32,fertilizer_water,22.6,28.0,3.463666666805125,3.1291875,,22.625
2026-03-15T13:00:43,fertilizer_water,22.6,28.0,3.394666666805499,3.1312499999999996,,22.625
2026-03-15T13:00:54,fertilizer_water,22.7,29.0,3.387766666805536,3.1291875,,22.625
