timestamp,water_type,air_temp_C,air_humidity_pct,pH,turbidity_voltage_V,turbidity_NTU,water_temp_C
2026-03-14T14:05:48,rb_water,22.8,27.0,7.257516666784504,3.8529375,7.353515625,22.562
2026-03-14T14:05:59,rb_water,23.2,22.0,7.231066666784647,3.8538750000000004,7.207031249999886,22.562
2026-03-14T14:06:10,rb_water,23.2,35.0,7.325366666784138,3.8549999999999995,7.031250000000114,22.562
2026-03-14T14:06:22,rb_water,23.2,46.0,7.370216666783893,3.8551875,7.001953125,22.562
2026-03-14T14:06:33,rb_water,23.1,35.0,7.269016666784442,3.844875,8.61328125,22.562
2026-03-14T14:06:44,rb_water,23.2,22.0,7.213816666784741,3.858,6.5625,22.5
2026-03-14T14:06:55,rb_water,23.2,25.0,7.371366666783885,3.8551875,7.001953125,22.5
2026-03-14T14:07:06,rb_water,23.2,35.0,7.239116666784604,3.8551875,7.001953125,22.562
2026-03-14T14:07:17,rb_water,23.1,35.0,7.339166666784061,3.8533125000000004,7.294921875,22.562
2026-03-14T14:07:28,rb_water,23.1,46.0,7.25636666678451,3.8533125000000004,7.294921875,22.5
2026-03-14T14:07:39,rb_water,23.2,29.0,7.3138666667842,3.8527500000000003,7.3828125,22.562
2026-03-14T14:07:50,rb_water,23.1,22.0,7.243716666784582,3.8544375000000004,7.119140624999886,22.562
2026-03-14T14:08:01,rb_water,23.1,22.0,7.32651666678413,3.8525625000000003,7.412109375,22.5
2026-03-14T14:08:12,rb_water,23.1,22.0,7.294316666784306,3.8525625000000003,7.412109375,22.562
2026-03-14T14:08:23,rb_water,23.1,46.0,7.2448666667845725,3.8538750000000004,7.207031249999886,22.5
2026-03-14T14:08:34,rb_water,23.1,22.0,7.327666666784124,3.8555624999999996,6.943359375000114,22.5
2026-03-14T14:08:46,rb_water,23.1,46.0,7.254066666784523,3.8536875000000004,7.236328124999886,22.562
2026-03-14T14:08:57,rb_water,23.1,35.0,7.312716666784203,3.8565000000000005,6.796874999999886,22.562
2026-03-14T14:09:08,rb_water,23.1,22.0,7.220716666784703,3.8570625000000005,6.708984374999886,22.5
2026-03-14T14:09:19,rb_water,23.1,35.0,7.3437666667840364,3.856875,6.73828125,22.5
2026-03-14T14:09:30,rb_water,23.0,46.0,7.205766666784786,3.8587500000000006,6.445312499999886,22.562
2026-03-14T14:09:41,rb_water,23.1,29.0,7.351816666783993,3.8596875,6.298828125,22.5
2026-03-14T14:09:52,rb_water,23.1,46.0,7.263266666784473,3.8594999999999997,6.328125,22.5
